topic,term,weight
000,timar,0.12263
000,repeat,0.116015
000,hear,0.115944
000,hard,0.116063
000,surely,0.0294273
000,feel,0.0294271
000,patience,0.029427
000,stupid,0.0294268
000,email,0.0151198
000,homepage,0.0149393
001,good,0.314404
001,camper,0.296062
001,happy,0.29138
001,numb,0.0491015
001,back,0.0490526
002,desk,0.336221
002,crawl,0.330942
002,floor,0.332836
003,hard,0.185595
003,hear,0.180009
003,repeat,0.179777
003,happy,0.182768
003,camper,0.138638
003,floor,0.133212
,back,0.00794283
007,desk,1.0
008,floor,1.0
009,crawl,1.0
0434773
003,robert,0.0256996
003,smith,0.0256983
003,holder,0.0256876
003,timar,0.0190462
003,patience,0.0147818
003,jerry,0.0157342
003,stupid,0.0128824
004,account,0.499734
004,hang,0.154225
004,worry,0.0459316
004,desk,0.0258545
004,crawl,0.0257249
004,floor,0.0257125
004,repeat,0.019475
004,hard,0.0194716
004,email,0.0176641
004,miracle,0.0153301
96
